"TaxaName","Accession","CollectionDate","GeoLocation","IsolationSource","Host","LengthBP","Protein","GCpercent"
"HHV6A_outgroup_KP257584.1","KP257584.1","1987","Gambia",NA,"Homo sapiens","156714","AJA36217.1",29.8795180722892
"HHV6B_U83_AB69_AB443470.1","AB443470.1",NA,NA,NA,NA,"410","BAH03595.1",39.0361445783133
"HHV6B_U83_AB84_AB443472.1","AB443472.1",NA,NA,NA,NA,"398","BAH03597.1",36.8674698795181
"HHV6B_U83_BT344_AB443473.1","AB443473.1",NA,NA,NA,NA,"411","BAH03598.1",39.0361445783133
"HHV6B_U83_BT344_AB443474.1","AB443474.1",NA,NA,NA,NA,"412","BAH03599.1",39.2771084337349
"HHV6B_U83_BT415_AB443477.1","AB443477.1",NA,NA,NA,NA,"397","BAH03602.1",36.8674698795181
"HHV6B_U83_BT449_AB443480.1","AB443480.1",NA,NA,NA,NA,"401","BAH03605.1",38.0722891566265
"HHV6B_U83_BT449_AB443481.1","AB443481.1",NA,NA,NA,NA,"402","BAH03606.1",38.0722891566265
"HHV6B_U83_BT451_AB443482.1","AB443482.1",NA,NA,NA,NA,"389","BAH03607.1",36.144578313253
"HHV6B_U83_BT451_AB443483.1","AB443483.1",NA,NA,NA,NA,"401","BAH03608.1",36.8674698795181
"HHV6B_U83_BT451_AB443484.1","AB443484.1",NA,NA,NA,NA,"406","BAH03609.1",37.3493975903614
"HHV6B_U83_BT499_AB443485.1","AB443485.1",NA,NA,NA,NA,"406","BAH03610.1",37.5903614457831
"HHV6B_U83_BT552_AB443489.1","AB443489.1",NA,NA,NA,NA,"415","BAH03614.1",38.0722891566265
"HHV6B_U83_BT552_AB443490.1","AB443490.1",NA,NA,NA,NA,"384","BAH03615.1",35.6626506024096
"HHV6B_U83_BT552_AB443492.1","AB443492.1",NA,NA,NA,NA,"383","BAH03617.1",35.9036144578313
"HHV6B_U83_BT562_AB443493.1","AB443493.1",NA,NA,NA,NA,"411","BAH03618.1",38.0722891566265
"HHV6B_U83_CVNMT44CCtypechemoki_KF130945.1","KF130945.1","05-Jun-2009","India",NA,"Homo sapiens","537","AHJ08669.1",39.2771084337349
"HHV6B_U83_CVNMT53CCtypechemoki_KF130946.1","KF130946.1","05-Jun-2009","India",NA,"Homo sapiens","540","AHJ08670.1",38.0722891566265
"HHV6B_U83_ES1_AB443500.1","AB443500.1",NA,NA,NA,NA,"413","BAH03625.1",38.0722891566265
"HHV6B_U83_ES1_AB443501.1","AB443501.1",NA,NA,NA,NA,"410","BAH03626.1",38.0722891566265
"HHV6B_U83_ES11_AB443513.1","AB443513.1",NA,NA,NA,NA,"410","BAH03638.1",39.2771084337349
"HHV6B_U83_ES12_AB443514.1","AB443514.1",NA,NA,NA,NA,"414","BAH03639.1",38.3132530120482
"HHV6B_U83_ES13_AB443516.1","AB443516.1",NA,NA,NA,NA,"444","BAH03641.1",38.3132530120482
"HHV6B_U83_ES16_AB443521.1","AB443521.1",NA,NA,NA,NA,"405","BAH03646.1",37.3493975903614
"HHV6B_U83_ES18_AB443527.1","AB443527.1",NA,NA,NA,NA,"436","BAH03652.1",37.8313253012048
"HHV6B_U83_ES21_AB443528.1","AB443528.1",NA,NA,NA,NA,"456","BAH03653.1",39.0361445783133
"HHV6B_U83_ES21_AB443529.1","AB443529.1",NA,NA,NA,NA,"454","BAH03654.1",39.2771084337349
"HHV6B_U83_ES3_AB443503.1","AB443503.1",NA,NA,NA,NA,"409","BAH03628.1",37.8313253012048
"HHV6B_U83_ES5_AB443505.1","AB443505.1",NA,NA,NA,NA,"410","BAH03630.1",37.8313253012048
"HHV6B_U83_ES6_AB443506.1","AB443506.1",NA,NA,NA,NA,"406","BAH03631.1",37.5903614457831
"HHV6B_U83_ES6_AB443507.1","AB443507.1",NA,NA,NA,NA,"402","BAH03632.1",37.1084337349398
"HHV6B_U83_ES7_AB443509.1","AB443509.1",NA,NA,NA,NA,"413","BAH03634.1",38.3132530120482
"HHV6B_U83_M2_AB443495.1","AB443495.1",NA,NA,NA,NA,"407","BAH03620.1",37.5903614457831
"HHV6B_U83_SNO17CCtypechemoki_KF130944.1","KF130944.1","05-Jun-2009","India",NA,"Homo sapiens","540","AHJ08668.1",38.3132530120482
"HHV6B_U83_StW_AB443498.1","AB443498.1",NA,NA,NA,NA,"412","BAH03623.1",38.7951807228916
"HHV6B_U83_StW_AB443499.1","AB443499.1",NA,NA,NA,NA,"412","BAH03624.1",38.7951807228916
"HHV6B_U83_UKCDchemoki_KP128819.1","KP128819.1",NA,"United Kingdom",NA,NA,"339","AIX09975.1",33.4939759036145
"HHV6B_U83_Z29_AB443460.1","AB443460.1",NA,NA,NA,NA,"412","BAH03585.1",38.0722891566265
"HHV6B_U83_Z29_AB443461.1","AB443461.1",NA,NA,NA,NA,"413","BAH03586.1",38.3132530120482
"HHV6B_U83_ZambiaHIVN19chemoki_KP128822.1","KP128822.1",NA,"Zambia",NA,NA,"342","AIX09978.1",33.0120481927711
"HHV6B_U83_ZambiaHIVN35dcchemoki_KP128824.1","KP128824.1",NA,"Zambia",NA,NA,"339","AIX09980.1",33.9759036144578
"HHV6B_U83_ZambiaHIVN8chemoki_KP128821.1","KP128821.1",NA,"Zambia",NA,NA,"342","AIX09977.1",32.7710843373494
